circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config,repeat
GHZ,128,2,0.03,2,3,1,1,0.0016624927520751953,0.0703125,11,,2,,0
GHZ,128,2,0.01,2,3,1,1,0.0019233226776123047,0.0546875,11,,2,,0
GHZ,128,2,0.05,2,3,1,1,0.002273082733154297,0.078125,11,,2,,0
GHZ,128,3,0.0,2,3,1,1,0.006013154983520508,0.046875,11,,2,,0
GHZ,128,3,0.001,2,3,1,1,0.0018429756164550781,0.046875,11,,2,,0
GHZ,128,3,0.005,2,3,1,1,0.0016870498657226562,0.046875,11,,2,,0
GHZ,128,3,0.01,2,3,1,1,0.0017900466918945312,0.0546875,11,,2,,0
GHZ,128,3,0.03,2,3,1,1,0.002346515655517578,0.0703125,11,,2,,0
GHZ,256,0,0.0,2,3,1,1,0.0013031959533691406,0.0390625,11,,2,,0
GHZ,128,3,0.05,2,3,1,1,0.0017762184143066406,0.078125,11,,2,,0
GHZ,256,0,0.001,2,3,1,1,0.0020325183868408203,0.04296875,11,,2,,0
GHZ,256,0,0.005,2,3,1,1,0.0017147064208984375,0.04296875,11,,2,,0
GHZ,256,0,0.01,2,3,1,1,0.002225637435913086,0.046875,11,,2,,0
GHZ,256,0,0.03,2,3,1,1,0.0016787052154541016,0.06640625,11,,2,,0
GHZ,256,0,0.05,2,3,1,1,0.001522064208984375,0.078125,11,,2,,0
GHZ,256,1,0.0,2,3,1,1,0.0011055469512939453,0.0390625,11,,2,,0
GHZ,256,1,0.001,2,3,1,1,0.001695871353149414,0.04296875,11,,2,,0
GHZ,256,1,0.005,2,3,1,1,0.0018301010131835938,0.04296875,11,,2,,0
GHZ,256,1,0.01,2,3,1,1,0.002444028854370117,0.046875,11,,2,,0
GHZ,256,1,0.03,2,3,1,1,0.002860546112060547,0.06640625,11,,2,,0
GHZ,256,2,0.0,2,3,1,1,0.001291513442993164,0.0390625,11,,2,,0
GHZ,256,1,0.05,2,3,1,1,0.002424478530883789,0.078125,11,,2,,0
GHZ,256,2,0.001,2,3,1,1,0.0020055770874023438,0.04296875,11,,2,,0
GHZ,256,2,0.005,2,3,1,1,0.0022203922271728516,0.04296875,11,,2,,0
GHZ,256,2,0.01,2,3,1,1,0.0021076202392578125,0.046875,11,,2,,0
GHZ,256,2,0.03,2,3,1,1,0.0024204254150390625,0.06640625,11,,2,,0
GHZ,256,2,0.05,2,3,1,1,0.00241851806640625,0.078125,11,,2,,0
GHZ,256,3,0.0,2,3,1,1,0.0014688968658447266,0.0390625,11,,2,,0
GHZ,256,3,0.01,2,3,1,1,0.002047300338745117,0.046875,11,,2,,0
GHZ,256,3,0.001,2,3,1,1,0.002086639404296875,0.04296875,11,,2,,0
GHZ,256,3,0.005,2,3,1,1,0.0018391609191894531,0.04296875,11,,2,,0
GHZ,256,3,0.03,2,3,1,1,0.001598358154296875,0.06640625,11,,2,,0
GHZ,512,0,0.0,2,3,1,1,0.002414226531982422,0.021484375,11,,2,,0
GHZ,512,0,0.001,2,3,1,1,0.0026047229766845703,0.025390625,11,,2,,0
GHZ,256,3,0.05,2,3,1,1,0.0023424625396728516,0.078125,11,,2,,0
GHZ,512,0,0.005,2,3,1,1,0.0026412010192871094,0.025390625,11,,2,,0
GHZ,512,0,0.01,2,3,1,1,0.002392292022705078,0.029296875,11,,2,,0
GHZ,512,0,0.05,2,3,1,1,0.0026297569274902344,0.0546875,11,,2,,0
GHZ,512,0,0.03,2,3,1,1,0.002559185028076172,0.044921875,11,,2,,0
GHZ,512,1,0.0,2,3,1,1,0.0021631717681884766,0.021484375,11,,2,,0
GHZ,512,1,0.001,2,3,1,1,0.0024912357330322266,0.025390625,11,,2,,0
GHZ,512,1,0.005,2,3,1,1,0.0025272369384765625,0.025390625,11,,2,,0
GHZ,512,1,0.01,2,3,1,1,0.002415180206298828,0.029296875,11,,2,,0
GHZ,512,1,0.03,2,3,1,1,0.0020890235900878906,0.044921875,11,,2,,0
GHZ,512,1,0.05,2,3,1,1,0.002885103225708008,0.0546875,11,,2,,0
GHZ,512,2,0.0,2,3,1,1,0.002050161361694336,0.021484375,11,,2,,0
GHZ,512,2,0.001,2,3,1,1,0.0027284622192382812,0.025390625,11,,2,,0
GHZ,512,2,0.005,2,3,1,1,0.0024230480194091797,0.025390625,11,,2,,0
GHZ,512,2,0.01,2,3,1,1,0.0022728443145751953,0.029296875,11,,2,,0
GHZ,512,2,0.05,2,3,1,1,0.0030679702758789062,0.0546875,11,,2,,0
GHZ,512,2,0.03,2,3,1,1,0.0022835731506347656,0.044921875,11,,2,,0
GHZ,512,3,0.0,2,3,1,1,0.002115488052368164,0.021484375,11,,2,,0
GHZ,512,3,0.001,2,3,1,1,0.00191497802734375,0.025390625,11,,2,,0
GHZ,512,3,0.01,2,3,1,1,0.0022401809692382812,0.029296875,11,,2,,0
GHZ,512,3,0.005,2,3,1,1,0.002768993377685547,0.025390625,11,,2,,0
GHZ,512,3,0.03,2,3,1,1,0.0025606155395507812,0.044921875,11,,2,,0
GHZ,512,3,0.05,2,3,1,1,0.002557992935180664,0.0546875,11,,2,,0
GHZ,1024,0,0.0,2,3,1,1,0.002948284149169922,0.0078125,11,,2,,0
GHZ,1024,0,0.001,2,3,1,1,0.0041637420654296875,0.0107421875,11,,2,,0
GHZ,1024,0,0.005,2,3,1,1,0.0025615692138671875,0.01171875,11,,2,,0
GHZ,1024,0,0.01,2,3,1,1,0.0034193992614746094,0.013671875,11,,2,,0
GHZ,1024,0,0.03,2,3,1,1,0.0033826828002929688,0.04003906249999989,11,,2,,0
GHZ,1024,0,0.05,2,3,1,1,0.004361391067504883,0.06054687499999989,11,,2,,0
GHZ,1024,1,0.0,2,3,1,1,0.003071308135986328,0.0078125,11,,2,,0
GHZ,1024,1,0.001,2,3,1,1,0.00384521484375,0.0107421875,11,,2,,0
