circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config
GHZ,4096,1,0.05,3,4,1,2,0.0074634552001953125,0.12255859374999989,000,,3,
GHZ,4096,1,0.01,3,4,1,2,0.007927656173706055,0.03076171875,000,,3,
GHZ,4096,2,0.0,3,4,1,2,0.014173030853271484,0.009765625,111,,3,
GHZ,4096,2,0.001,3,4,1,2,0.014473438262939453,0.002441406249999889,111,,3,
GHZ,4096,2,0.01,3,4,1,2,0.012670516967773438,0.02416992187499989,000,,3,
GHZ,4096,2,0.05,3,4,1,2,0.009470462799072266,0.12036132812499989,111,,3,
GHZ,4096,3,0.0,3,4,1,2,0.015455961227416992,0.007568359375,111,,3,
GHZ,4096,3,0.001,3,4,1,2,0.011463403701782227,0.005126953125,111,,3,
GHZ,4096,3,0.01,3,4,1,2,0.008476018905639648,0.02343749999999989,111,,3,
GHZ,4096,3,0.05,3,4,1,2,0.011667251586914062,0.12158203124999989,000,,3,
GHZ,128,0,0.0,4,5,1,3,0.003540515899658203,0.046875,1111,,4,
GHZ,128,0,0.001,4,5,1,3,0.01728200912475586,0.0078125,0000,,4,
GHZ,128,0,0.01,4,5,1,3,0.0030858516693115234,0.09375,1111,,4,
GHZ,128,0,0.05,4,5,1,3,0.003531217575073242,0.2343749999999999,0000,,4,
GHZ,128,1,0.0,4,5,1,3,0.0013055801391601562,0.0390625,1111,,4,
GHZ,128,1,0.001,4,5,1,3,0.0020813941955566406,0.0546875,1111,,4,
GHZ,128,1,0.01,4,5,1,3,0.0018301010131835938,0.046875,0000,,4,
GHZ,128,2,0.0,4,5,1,3,0.0012066364288330078,0.0078125,0000,,4,
GHZ,128,1,0.05,4,5,1,3,0.002145528793334961,0.2343749999999999,0000,,4,
GHZ,128,2,0.001,4,5,1,3,0.0018157958984375,0.03125,0000,,4,
GHZ,128,2,0.01,4,5,1,3,0.0020606517791748047,0.015625,0000,,4,
GHZ,128,3,0.0,4,5,1,3,0.001298666000366211,1.1102230246251565e-16,0000,,4,
GHZ,128,2,0.05,4,5,1,3,0.0023872852325439453,0.2109374999999999,1111,,4,
GHZ,128,3,0.001,4,5,1,3,0.002191305160522461,0.0546875,1111,,4,
GHZ,128,3,0.01,4,5,1,3,0.0024297237396240234,0.0546875,1111,,4,
GHZ,512,0,0.0,4,5,1,3,0.002677440643310547,0.009765625,1111,,4,
GHZ,128,3,0.05,4,5,1,3,0.0022864341735839844,0.2343749999999999,0000,,4,
GHZ,512,0,0.001,4,5,1,3,0.002938985824584961,0.0078125,1111,,4,
GHZ,512,0,0.01,4,5,1,3,0.0024209022521972656,0.04492187499999989,1111,,4,
GHZ,512,0,0.05,4,5,1,3,0.003774881362915039,0.2148437499999999,1111,,4,
GHZ,512,1,0.0,4,5,1,3,0.0026617050170898438,0.02734375,0000,,4,
GHZ,512,1,0.001,4,5,1,3,0.003039836883544922,0.00390625,1111,,4,
GHZ,512,1,0.01,4,5,1,3,0.0028336048126220703,0.041015625,1111,,4,
GHZ,512,1,0.05,4,5,1,3,0.0025930404663085938,0.1777343749999999,0000,,4,
GHZ,512,2,0.0,4,5,1,3,0.0029997825622558594,0.009765625,1111,,4,
GHZ,512,2,0.001,4,5,1,3,0.0030815601348876953,0.00390625,1111,,4,
GHZ,512,2,0.01,4,5,1,3,0.0032100677490234375,0.046875,1111,,4,
GHZ,512,2,0.05,4,5,1,3,0.0031785964965820312,0.2050781249999999,1111,,4,
GHZ,512,3,0.0,4,5,1,3,0.002519369125366211,1.1102230246251565e-16,0000,,4,
GHZ,512,3,0.001,4,5,1,3,0.0029075145721435547,0.0234375,1111,,4,
GHZ,1024,0,0.0,4,5,1,3,0.0036344528198242188,0.0087890625,0000,,4,
GHZ,512,3,0.01,4,5,1,3,0.00322723388671875,0.02929687499999989,0000,,4,
GHZ,512,3,0.05,4,5,1,3,0.0032019615173339844,0.1777343749999999,0000,,4,
GHZ,1024,0,0.001,4,5,1,3,0.004347085952758789,0.0107421875,0000,,4,
GHZ,1024,0,0.01,4,5,1,3,0.004854917526245117,0.046875,1111,,4,
GHZ,1024,1,0.0,4,5,1,3,0.006754875183105469,0.009765625,0000,,4,
GHZ,1024,0,0.05,4,5,1,3,0.003339052200317383,0.1689453124999999,1111,,4,
GHZ,1024,1,0.001,4,5,1,3,0.0032765865325927734,0.0068359375,1111,,4,
GHZ,1024,1,0.01,4,5,1,3,0.003348112106323242,0.04882812499999989,0000,,4,
GHZ,1024,1,0.05,4,5,1,3,0.005468606948852539,0.1914062499999999,0000,,4,
GHZ,1024,2,0.0,4,5,1,3,0.0053997039794921875,0.0146484375,1111,,4,
GHZ,1024,2,0.001,4,5,1,3,0.0038726329803466797,0.0107421875,0000,,4,
GHZ,1024,2,0.01,4,5,1,3,0.0043163299560546875,0.041015625,1111,,4,
GHZ,1024,2,0.05,4,5,1,3,0.004603385925292969,0.1923828124999999,0000,,4,
GHZ,1024,3,0.0,4,5,1,3,0.004984855651855469,1.1102230246251565e-16,1111,,4,
GHZ,1024,3,0.001,4,5,1,3,0.005426645278930664,0.0078125,1111,,4,
GHZ,1024,3,0.01,4,5,1,3,0.004633903503417969,0.02929687499999989,0000,,4,
GHZ,1024,3,0.05,4,5,1,3,0.0042438507080078125,0.1748046874999999,0000,,4,
GHZ,4096,0,0.0,4,5,1,3,0.01845264434814453,0.00634765625,0000,,4,
GHZ,4096,0,0.001,4,5,1,3,0.013345003128051758,0.009033203125,1111,,4,
GHZ,4096,0,0.01,4,5,1,3,0.011723995208740234,0.04052734374999989,1111,,4,
GHZ,4096,0,0.05,4,5,1,3,0.01551198959350586,0.1962890624999999,1111,,4,
GHZ,4096,1,0.0,4,5,1,3,0.019054412841796875,0.01025390625,0000,,4,
GHZ,4096,1,0.001,4,5,1,3,0.01201772689819336,0.005859374999999889,0000,,4,
GHZ,4096,1,0.01,4,5,1,3,0.0125579833984375,0.03881835937499989,0000,,4,
GHZ,4096,1,0.05,4,5,1,3,0.008528709411621094,0.1889648437499999,1111,,4,
GHZ,4096,2,0.0,4,5,1,3,0.020060300827026367,0.015380859375,0000,,4,
GHZ,4096,2,0.001,4,5,1,3,0.011631250381469727,0.00830078125,0000,,4,
GHZ,4096,2,0.01,4,5,1,3,0.015411138534545898,0.03637695312499989,0000,,4,
GHZ,4096,2,0.05,4,5,1,3,0.01243138313293457,0.1870117187499999,0000,,4,
GHZ,4096,3,0.0,4,5,1,3,0.020045757293701172,0.009033203125,1111,,4,
GHZ,4096,3,0.001,4,5,1,3,0.008220195770263672,0.013427734375,0000,,4,
GHZ,4096,3,0.01,4,5,1,3,0.015410661697387695,0.04296874999999989,1111,,4,
GHZ,4096,3,0.05,4,5,1,3,0.010704278945922852,0.1738281249999999,0000,,4,
GHZ,128,0,0.0,5,6,1,4,0.0011446475982666016,0.046875,00000,,5,
GHZ,128,0,0.01,5,6,1,4,0.0024259090423583984,0.10937499999999989,00000,,5,
GHZ,128,0,0.001,5,6,1,4,0.0028395652770996094,0.0234375,11111,,5,
GHZ,128,0,0.05,5,6,1,4,0.0026273727416992188,0.2109374999999999,00000,,5,
GHZ,128,1,0.01,5,6,1,4,0.002387523651123047,0.0546875,00000,,5,
GHZ,128,1,0.0,5,6,1,4,0.001379251480102539,0.0703125,11111,,5,
GHZ,128,1,0.001,5,6,1,4,0.002279996871948242,0.0546875,11111,,5,
GHZ,128,1,0.05,5,6,1,4,0.0036814212799072266,0.2109374999999999,00000,,5,
GHZ,128,2,0.0,5,6,1,4,0.0011010169982910156,0.03125,11111,,5,
GHZ,128,2,0.001,5,6,1,4,0.002345561981201172,0.015625,11111,,5,
GHZ,128,2,0.01,5,6,1,4,0.003728151321411133,0.0625,00000,,5,
GHZ,128,2,0.05,5,6,1,4,0.002005338668823242,0.1718749999999999,11111,,5,
GHZ,128,3,0.0,5,6,1,4,0.0011286735534667969,0.015625,00000,,5,
GHZ,128,3,0.01,5,6,1,4,0.003125429153442383,0.046875,00000,,5,
GHZ,128,3,0.05,5,6,1,4,0.0034148693084716797,0.1953124999999999,11111,,5,
GHZ,128,3,0.001,5,6,1,4,0.003237485885620117,0.03125,11111,,5,
GHZ,512,0,0.0,5,6,1,4,0.002701997756958008,0.009765625,00000,,5,
GHZ,512,0,0.001,5,6,1,4,0.0031266212463378906,0.01953125,00000,,5,
GHZ,512,0,0.01,5,6,1,4,0.0031964778900146484,0.06640624999999989,00000,,5,
GHZ,512,0,0.05,5,6,1,4,0.0032601356506347656,0.2363281249999999,11111,,5,
GHZ,512,1,0.0,5,6,1,4,0.0029230117797851562,0.005859375,11111,,5,
GHZ,512,1,0.001,5,6,1,4,0.002614259719848633,0.025390625,00000,,5,
GHZ,512,1,0.01,5,6,1,4,0.0025603771209716797,0.04882812499999989,00000,,5,
GHZ,512,1,0.05,5,6,1,4,0.002844095230102539,0.2109374999999999,11111,,5,
GHZ,512,2,0.0,5,6,1,4,0.003631591796875,0.017578125,11111,,5,
GHZ,512,2,0.001,5,6,1,4,0.0033826828002929688,0.007812499999999889,11111,,5,
GHZ,512,2,0.01,5,6,1,4,0.0028574466705322266,0.06835937499999989,11111,,5,
GHZ,512,2,0.05,5,6,1,4,0.0037488937377929688,0.2656249999999999,00000,,5,
GHZ,512,3,0.0,5,6,1,4,0.0035266876220703125,0.00390625,11111,,5,
GHZ,512,3,0.001,5,6,1,4,0.003458738327026367,0.013671875,11111,,5,
GHZ,512,3,0.01,5,6,1,4,0.002784252166748047,0.07031249999999989,11111,,5,
GHZ,512,3,0.05,5,6,1,4,0.0037522315979003906,0.2558593749999999,11111,,5,
GHZ,1024,0,0.0,5,6,1,4,0.0051457881927490234,0.0107421875,00000,,5,
GHZ,1024,0,0.001,5,6,1,4,0.004044055938720703,0.033203125,00000,,5,
GHZ,1024,0,0.01,5,6,1,4,0.003812074661254883,0.05566406249999989,00000,,5,
GHZ,1024,0,0.05,5,6,1,4,0.006264686584472656,0.2548828124999999,00000,,5,
GHZ,1024,1,0.0,5,6,1,4,0.005765676498413086,0.00390625,00000,,5,
GHZ,1024,1,0.001,5,6,1,4,0.004703998565673828,0.01171875,11111,,5,
GHZ,1024,1,0.01,5,6,1,4,0.003793954849243164,0.05664062499999989,11111,,5,
GHZ,1024,1,0.05,5,6,1,4,0.003999471664428711,0.2519531249999999,00000,,5,
GHZ,1024,2,0.0,5,6,1,4,0.0054242610931396484,0.005859375,00000,,5,
GHZ,1024,2,0.001,5,6,1,4,0.004143238067626953,0.0029296875,00000,,5,
GHZ,1024,2,0.01,5,6,1,4,0.005996227264404297,0.04589843749999989,00000,,5,
GHZ,1024,2,0.05,5,6,1,4,0.004358768463134766,0.2333984374999999,11111,,5,
GHZ,1024,3,0.0,5,6,1,4,0.0053844451904296875,0.0087890625,00000,,5,
GHZ,1024,3,0.001,5,6,1,4,0.004862308502197266,0.0185546875,11111,,5,
GHZ,1024,3,0.01,5,6,1,4,0.0036809444427490234,0.04394531249999989,11111,,5,
GHZ,1024,3,0.05,5,6,1,4,0.01596522331237793,0.2402343749999999,00000,,5,
GHZ,4096,0,0.0,5,6,1,4,0.019149303436279297,0.01171875,00000,,5,
GHZ,4096,0,0.001,5,6,1,4,0.0156404972076416,0.005615234374999889,11111,,5,
GHZ,4096,0,0.01,5,6,1,4,0.009619712829589844,0.05493164062499989,11111,,5,
GHZ,4096,0,0.05,5,6,1,4,0.023115873336791992,0.2524414062499999,11111,,5,
GHZ,4096,1,0.0,5,6,1,4,0.020967721939086914,0.001220703125,11111,,5,
GHZ,4096,1,0.001,5,6,1,4,0.015012264251708984,0.004394531249999889,11111,,5,
